x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.17660E-06,+303.05449471E-03,+19.51727402E-03,+310.19552245E-03,-83.39054559E-03
-9.16660E-06,+303.05449471E-03,+19.02255041E-03,+310.19552245E-03,-83.53721644E-03
-9.15660E-06,+303.05449471E-03,+18.85559061E-03,+310.19552245E-03,-83.41410087E-03
-9.14660E-06,+303.05449471E-03,+18.47041474E-03,+310.19552245E-03,-83.55291996E-03
-9.13660E-06,+303.05449471E-03,+17.76337957E-03,+310.19552245E-03,-83.37735463E-03
-9.12660E-06,+303.05449471E-03,+17.43084189E-03,+310.19552245E-03,-83.52339735E-03
-9.11660E-06,+303.05449471E-03,+17.24905797E-03,+310.19552245E-03,-83.43891242E-03
-9.10660E-06,+303.05449471E-03,+16.84252531E-03,+310.19552245E-03,-83.51020639E-03
-9.09660E-06,+303.05449471E-03,+16.24353034E-03,+310.19552245E-03,-83.41629936E-03
-9.08660E-06,+303.05449471E-03,+15.84842984E-03,+310.19552245E-03,-83.64714106E-03
-9.07660E-06,+303.05449471E-03,+15.17719869E-03,+310.19552245E-03,-83.46843504E-03
-9.06660E-06,+303.05449471E-03,+15.09327910E-03,+310.19552245E-03,-83.45241745E-03
-9.05660E-06,+303.05449471E-03,+14.70471126E-03,+310.19552245E-03,-83.41410087E-03
-9.04660E-06,+303.05449471E-03,+14.20182182E-03,+310.19552245E-03,-83.54601041E-03
-9.03660E-06,+303.05449471E-03,+14.03385700E-03,+310.19552245E-03,-83.45053303E-03
-9.02660E-06,+303.05449471E-03,+13.26865600E-03,+310.19552245E-03,-83.50455313E-03
-9.01660E-06,+303.05449471E-03,+13.10207309E-03,+310.19552245E-03,-83.41190237E-03
-9.00660E-06,+303.05449471E-03,+12.65056555E-03,+310.19552245E-03,-83.50518127E-03
-8.99660E-06,+303.05449471E-03,+12.79327912E-03,+310.19552245E-03,-83.37232951E-03
-8.98660E-06,+303.05449471E-03,+12.56564093E-03,+310.19552245E-03,-83.55668880E-03
-8.97660E-06,+303.05449471E-03,+12.09780174E-03,+310.19552245E-03,-83.38740489E-03
-8.96660E-06,+303.05449471E-03,+11.75860577E-03,+310.19552245E-03,-83.51994257E-03
-8.95660E-06,+303.05449471E-03,+11.54076657E-03,+310.19552245E-03,-83.42666368E-03
-8.94660E-06,+303.05179371E-03,+11.18159572E-03,+310.19552245E-03,-83.51554559E-03
-8.93660E-06,+303.05248466E-03,+10.70998769E-03,+310.19552245E-03,-83.40876167E-03
-8.92660E-06,+303.05449471E-03,+10.72091733E-03,+310.19552245E-03,-83.49638730E-03
-8.91660E-06,+303.05449471E-03,+9.83071634E-03,+310.19552245E-03,-83.48162599E-03
-8.90660E-06,+303.05449471E-03,+9.44930931E-03,+310.19552245E-03,-83.52339735E-03
-8.89660E-06,+303.05449471E-03,+9.13800278E-03,+310.19552245E-03,-83.38928931E-03
-8.88660E-06,+303.05449471E-03,+8.75131937E-03,+310.19552245E-03,-83.55354810E-03
-8.87660E-06,+303.05449471E-03,+7.84252541E-03,+310.19552245E-03,-83.42791996E-03
-8.86660E-06,+303.05449471E-03,+7.94554048E-03,+310.19552245E-03,-83.56830941E-03
-8.85660E-06,+303.05449471E-03,+7.74164601E-03,+310.19552245E-03,-83.40624911E-03
