x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.40660E-06,+303.05449471E-03,+18.09478660E-03,+310.19552245E-03,-83.63206569E-03
-9.39660E-06,+303.05449471E-03,+17.67782681E-03,+310.19552245E-03,-83.53062096E-03
-9.38660E-06,+303.05449471E-03,+17.21840470E-03,+310.19552245E-03,-83.65656317E-03
-9.37660E-06,+303.05449471E-03,+16.98674641E-03,+310.19552245E-03,-83.54444006E-03
-9.36660E-06,+303.05449471E-03,+16.80621878E-03,+310.19552245E-03,-83.61856066E-03
-9.35660E-06,+303.05449471E-03,+16.41777657E-03,+310.19552245E-03,-83.52528177E-03
-9.34660E-06,+303.05449471E-03,+16.10747507E-03,+310.19552245E-03,-83.66724157E-03
-9.33660E-06,+303.05449471E-03,+16.24076652E-03,+310.19552245E-03,-83.56956569E-03
-9.32660E-06,+303.05449471E-03,+15.98636954E-03,+310.19552245E-03,-83.61416368E-03
-9.31660E-06,+303.05449471E-03,+15.26224894E-03,+310.19552245E-03,-83.58369885E-03
-9.30660E-06,+303.05449471E-03,+15.32493739E-03,+310.19552245E-03,-83.64462850E-03
-9.29660E-06,+303.05449471E-03,+14.99302784E-03,+310.19552245E-03,-83.52622398E-03
-9.28660E-06,+303.05449471E-03,+14.53913337E-03,+310.19552245E-03,-83.68137473E-03
-9.27660E-06,+303.05449471E-03,+14.59265096E-03,+310.19552245E-03,-83.54663855E-03
-9.26660E-06,+303.05449471E-03,+13.93147006E-03,+310.19552245E-03,-83.60097272E-03
-9.25660E-06,+303.05449471E-03,+13.61953539E-03,+310.19552245E-03,-83.54318378E-03
-9.24660E-06,+303.05449471E-03,+13.23674645E-03,+310.19552245E-03,-83.63583453E-03
-9.23660E-06,+303.05449471E-03,+13.29516354E-03,+310.19552245E-03,-83.50172649E-03
-9.22660E-06,+303.05449471E-03,+12.38234948E-03,+310.19552245E-03,-83.57239232E-03
-9.21660E-06,+303.05449471E-03,+12.12456054E-03,+310.19552245E-03,-83.53627423E-03
-9.20660E-06,+303.05449471E-03,+11.86614345E-03,+310.19552245E-03,-83.66158830E-03
-9.19660E-06,+303.05449471E-03,+12.06463591E-03,+310.19552245E-03,-83.50392499E-03
-9.18660E-06,+303.05449471E-03,+11.30986205E-03,+310.19552245E-03,-83.63457825E-03
-9.17660E-06,+303.05449471E-03,+11.47104295E-03,+310.19552245E-03,-83.56139986E-03
-9.16660E-06,+303.05449471E-03,+11.01752537E-03,+310.19552245E-03,-83.61761845E-03
-9.15660E-06,+303.05449471E-03,+10.88209824E-03,+310.19552245E-03,-83.53438981E-03
-9.14660E-06,+303.05449471E-03,+10.53435955E-03,+310.19552245E-03,-83.66504307E-03
-9.13660E-06,+303.05449471E-03,+10.27041483E-03,+310.19552245E-03,-83.53219132E-03
-9.12660E-06,+303.05449471E-03,+10.36287714E-03,+310.19552245E-03,-83.61761845E-03
-9.11660E-06,+303.05449471E-03,+10.17317865E-03,+310.19552245E-03,-83.54758076E-03
-9.10660E-06,+303.05449471E-03,+9.82430930E-03,+310.19552245E-03,-83.62547021E-03
-9.09660E-06,+303.05449471E-03,+9.64152036E-03,+310.19552245E-03,-83.47126167E-03
-9.08660E-06,+303.05449471E-03,+9.47770127E-03,+310.19552245E-03,-83.73005564E-03
-9.07660E-06,+303.05449471E-03,+9.01878167E-03,+310.19552245E-03,-83.60882448E-03
-9.06660E-06,+303.05449471E-03,+8.63687213E-03,+310.19552245E-03,-83.58181443E-03
-9.05660E-06,+303.05449471E-03,+8.20081686E-03,+310.19552245E-03,-83.50800790E-03
-9.04660E-06,+303.05449471E-03,+8.08435957E-03,+310.19552245E-03,-83.61887473E-03
-9.03660E-06,+303.05449471E-03,+8.16878168E-03,+310.19552245E-03,-83.55480438E-03
-9.02660E-06,+303.05449471E-03,+7.35785204E-03,+310.19552245E-03,-83.60756820E-03
-9.01660E-06,+303.05449471E-03,+7.03059074E-03,+310.19552245E-03,-83.49261845E-03
-9.00660E-06,+303.05449471E-03,+7.29616863E-03,+310.19552245E-03,-83.66347272E-03
-8.99660E-06,+303.05449471E-03,+7.01262592E-03,+310.19552245E-03,-83.52622398E-03
-8.98660E-06,+303.05449471E-03,+6.17682191E-03,+310.19552245E-03,-83.64305815E-03
